item_id,product_type,image_path,item_name,label,split
B01MRBGZPY,SHOES,/Users/deepanshusingh/abo_raw/images/small/2d/2d13d3f1.jpg,"Amazon Brand - The Fix Women's Jaylene Slip Fashion Sneaker, Light Rose Metallic, 9.5 B US",42,train
B07GF4N281,HARDWARE_HANDLE,/Users/deepanshusingh/abo_raw/images/small/41/415e30cb.jpg,"AmazonBasics Pomelli per porta, sfera standard Passaggio Nero opaco",17,train
B07MZ5H6F3,HOME_BED_AND_BATH,/Users/deepanshusingh/abo_raw/images/small/66/66f3d360.jpg,"AmazonBasics Kid's 5/8"" Curtain Rod Round Finials",23,train
B07QJ1X2HC,HEADBOARD,/Users/deepanshusingh/abo_raw/images/small/d0/d0a5cd68.jpg,"Amazon Brand – Ravenna Home Haraden Modern Rectangular King Bed Headboard with Nailhead Trim, 82""W, Beige",19,train
B0897CZ1MS,PET_SUPPLIES,/Users/deepanshusingh/abo_raw/images/small/45/459a4de9.jpg,"UMI. Essential Pack of 2 Gift Toys for Puppies & Dogs, Rubber Ring and Spiky Stick Dental Chew Dog Toy Value Pack",35,train
B07BHYHHXL,HOME_BED_AND_BATH,/Users/deepanshusingh/abo_raw/images/small/de/dec3b6e1.jpg,"AmazonBasics Lot avec rideau occultant et œillets, 168 x 229 cm, Bleu (Spa Blue)",23,train
B08DWS5TH3,HAT,/Users/deepanshusingh/abo_raw/images/small/e0/e0c73704.jpg,CGTL Face Mask Bandanas Mouth Cover Washable Seamless Neck Gaiter Ear Loops Balaclava Scarfs Protection Sports Headwear for Dust Wind UV Protection,18,train
B08DTWJ7LJ,ACCESSORY,/Users/deepanshusingh/abo_raw/images/small/7a/7a5d375d.jpg,Bun Large Summer Face Mask Neck Gaiter Bandana Protective Face Cover for Outdoors Colour 010,0,train
B08988PX9L,DRINKING_CUP,/Users/deepanshusingh/abo_raw/images/small/10/1091da87.jpg,"AmazonBasics Tritan - anteojos de uñas, Copas de té heladas, Transparente, 458 ml/ 15.5 oz, 1",8,train
B0043RTN3G,FINERING,/Users/deepanshusingh/abo_raw/images/small/d4/d41afd49.jpg,"[Find] Amazon Collection Sterling Silver In K Pink Gold Diamond Hearts Ring (1/4 cttw, I-J Color, I2-I3 Clarity) Japanese Size No. 14 X L (US Size 7 # # # #)",12,train
B072JT7WF6,SHELF,/Users/deepanshusingh/abo_raw/images/small/ea/ea190f65.jpg,"AmazonBasics - Shelf for medium-heavy items, solid poles, chipboard, 91 x 45 x 182 cm",41,train
B0825DBMT7,LIGHT_FIXTURE,/Users/deepanshusingh/abo_raw/images/small/bd/bd9b7f14.jpg,"Amazon Brand – Stone & Beam Contemporary Adjustable Metal Wall Sconce, LED Bulb Included, 8.5""H, Brushed Nickel",29,train
B0797LB9ZK,ACCESSORY,/Users/deepanshusingh/abo_raw/images/small/e5/e548e94c.jpg,"Amazon-merk - Knoopsluiting voor heren, klassiek zijde, 7,6 cm, halsband,Oranje/Blauwe streep,Eén maat",0,train
B00EQ5HA2Q,HOME_BED_AND_BATH,/Users/deepanshusingh/abo_raw/images/small/7e/7e0d3f26.jpg,"Pinzon by Amazon Ultrasoft Spannbetttuch, Perkal, 135 x 190 x 38 cm - Grau",23,train
B0857KKCW3,CELLULAR_PHONE_CASE,/Users/deepanshusingh/abo_raw/images/small/df/df4d4832.jpg,Amazon Brand - Solimo Designer Pink Flowers UV Printed Soft Back Case Mobile Cover for Realme 1,5,train
