epoch,stem,layer1,layer2,layer3,layer4,fc,layer4_over_layer1_ratio
1,0.160668170174246,0.2717568472366834,0.25855986622782906,0.19321841242343832,0.18934685164943102,0.32511267587041276,0.697
2,0.002084349254580924,0.0030407189527909095,0.0038555849976176096,0.008709284428744,0.017654904721884714,0.08264677857678385,5.806
3,0.002380777698997951,0.0034863887072708664,0.004364980850121389,0.009860300731822471,0.018310107018220514,0.08277961446359741,5.252
4,0.0028471192131265554,0.004176688625132737,0.004945198428244736,0.010922467633539473,0.01896135839554167,0.08293015748537787,4.54
5,0.0034872162941545297,0.005117439658285057,0.005875991954437454,0.012747263602268893,0.021951890862667692,0.08351850653940435,4.29
6,0.003999044311341524,0.005863376369059027,0.006669838166799349,0.014471918874783496,0.02271792648233314,0.08321132604130375,3.875
7,0.0046732373008504784,0.006840670859171522,0.007779640388530007,0.016913010008151173,0.02487483510839415,0.08339871158589877,3.636
8,0.005608788696049402,0.008234894061239952,0.009301435487838617,0.020110528272607082,0.02742125375989566,0.0836652721593814,3.33
9,0.006559580995774735,0.009840893441490773,0.010822997823340149,0.023034565515293367,0.03018350133890131,0.08400603769223222,3.067
10,0.007807010062147494,0.011841627549073681,0.012495397671370402,0.026085735486115928,0.03434060710711255,0.08435581880056427,2.9
11,0.008968622477082607,0.013883349779224256,0.014184870407483187,0.02865873958958417,0.03432479405746847,0.08446149137916668,2.472
12,0.010424989484005649,0.01636731219864969,0.016592192642992436,0.03224363851226333,0.035550495808067545,0.08451952733225826,2.172
13,0.012049032043921323,0.01885072687934704,0.018900950708713164,0.034945949507745516,0.038341556724713,0.08479958044395772,2.034
14,0.01377743887224464,0.020886289594456722,0.021067709315560686,0.03828698535813394,0.04062406202416854,0.0851069464485099,1.945
15,0.015954457613677014,0.024541544202061227,0.02422345133286303,0.042771010947596465,0.04270937455384274,0.08546893026368292,1.74
16,0.017771844653178746,0.026331943788436094,0.025473867119398495,0.04162683096669402,0.04402323463037658,0.0855399067770658,1.672
17,0.017466360369077828,0.02518039823200898,0.024039351149971404,0.03636301332586333,0.041278129867984556,0.0850913191830741,1.639
18,0.021942456732742623,0.030731986686859055,0.029510527033576477,0.04349194446563044,0.047252469720638755,0.08584841111967846,1.538
19,0.021594572940933598,0.02971501193415233,0.026182868484598863,0.0404666951507522,0.04825923204449397,0.08570813508134163,1.624
20,0.014236072776691441,0.019618185549860775,0.014612190278077437,0.020337350574945505,0.029976754954393583,0.08357659376610317,1.528
